reclat,reclon,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90883,-78.87047,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90882,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90889,-78.87057,
42.90884,-78.87049,
42.90888,-78.87055,
42.90888,-78.87058,
42.90881,-78.87045,
42.90887,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90883,-78.87047,
42.90889,-78.87056,
42.9089,-78.87058,
42.90887,-78.87057,
42.9089,-78.87058,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90882,-78.87046,
42.90887,-78.87055,
42.90888,-78.87057,
42.90882,-78.87044,
42.90887,-78.87054,
42.90883,-78.87046,
42.90885,-78.87052,
42.90888,-78.87056,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90882,-78.87046,
42.90887,-78.87055,
42.90888,-78.87057,
42.90892,-78.87065,
42.90889,-78.8706,
42.90891,-78.87065,
42.90889,-78.8706,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.90884,-78.87048,
42.90882,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90882,-78.87046,
42.90887,-78.87055,
42.90883,-78.87048,
42.90885,-78.87053,
42.90882,-78.87046,
42.9088,-78.8704,
42.90886,-78.87053,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.9089,-78.87064,
42.90893,-78.87069,
42.9089,-78.87061,
42.90889,-78.87058,
42.90892,-78.87067,
42.90889,-78.8706,
42.90889,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90881,-78.87043,
42.90887,-78.87054,
42.90888,-78.87057,
42.90891,-78.87065,
42.90888,-78.87059,
42.9089,-78.87058,
42.90887,-78.87056,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90892,-78.87067,
42.90889,-78.8706,
42.90888,-78.87058,
42.90892,-78.87066,
42.90889,-78.8706,
42.90888,-78.87057,
42.90883,-78.87048,
42.90882,-78.87045,
42.90887,-78.87054,
42.90891,-78.87066,
42.90889,-78.87059,
42.90891,-78.87064,
42.90889,-78.87059,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90892,-78.87065,
42.90889,-78.8706,
42.90884,-78.87049,
42.90887,-78.87056,
42.90889,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90881,-78.87043,
42.90879,-78.87041,
42.90886,-78.87053,
42.90888,-78.87057,
42.90892,-78.87067,
42.90889,-78.8706,
42.90889,-78.87057,
42.90884,-78.87048,
42.90889,-78.87057,
42.90882,-78.87046,
42.90881,-78.87043,
42.90877,-78.87037,
42.90886,-78.87053,
42.90888,-78.87056,
42.9089,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.9089,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90882,-78.87047,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90882,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.9088,-78.8704,
42.90886,-78.87053,
42.90888,-78.87056,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87047,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90882,-78.87047,
42.90881,-78.87044,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90881,-78.87044,
42.9088,-78.87042,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87047,
42.90881,-78.87043,
42.90879,-78.87041,
42.90886,-78.87053,
42.9088,-78.87041,
42.90881,-78.87044,
42.9088,-78.87042,
42.90882,-78.87045,
42.90886,-78.87054,
42.90888,-78.87057,
42.90882,-78.87047,
42.9088,-78.87043,
42.90887,-78.87054,
42.90883,-78.87046,
42.9088,-78.87043,
42.90886,-78.87054,
42.90883,-78.87046,
42.90881,-78.87044,
42.90886,-78.87054,
42.90882,-78.87045,
42.90887,-78.87054,
42.90883,-78.87048,
42.9088,-78.87041,
42.90886,-78.87054,
42.90883,-78.87047,
42.90881,-78.87044,
42.90887,-78.87054,
42.90883,-78.87047,
42.90881,-78.87043,
42.90879,-78.87041,
42.90881,-78.87043,
42.90887,-78.87054,
42.90882,-78.87046,
42.9088,-78.87042,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87046,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.9088,-78.87042,
42.90886,-78.87054,
42.90888,-78.87057,
42.90883,-78.87049,
42.90882,-78.87045,
42.90887,-78.87055,
42.90883,-78.87047,
42.90881,-78.87043,
42.90886,-78.87054,
42.90888,-78.87057,
42.90882,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90882,-78.87045,
42.9088,-78.87041,
42.90886,-78.87054,
42.90884,-78.87049,
42.90882,-78.87045,
42.9088,-78.87042,
42.90886,-78.87054,
42.90883,-78.87047,
42.90882,-78.87045,
42.90887,-78.87054,
42.90882,-78.87046,
42.90887,-78.87055,
42.90883,-78.87048,
42.90881,-78.87045,
42.90886,-78.87054,
42.90883,-78.87047,
42.90881,-78.87043,
42.90886,-78.87054,
42.90883,-78.87047,
42.90882,-78.87045,
42.90881,-78.87043,
42.90885,-78.87054,
42.90883,-78.87047,
42.90881,-78.87044,
42.90888,-78.87054,
42.90882,-78.87045,
42.90878,-78.87036,
42.90886,-78.87052,
42.90882,-78.87045,
42.9088,-78.87042,
42.90886,-78.87054,
42.90883,-78.87047,
42.90882,-78.87045,
42.90887,-78.87054,
42.90882,-78.87046,
42.9088,-78.87043,
42.90879,-78.87041,
42.90881,-78.87043,
42.90875,-78.87032,
42.90877,-78.87037,
42.90886,-78.87052,
42.90888,-78.87056,
42.90884,-78.87049,
42.90887,-78.87056,
42.90882,-78.87046,
42.90887,-78.87054,
42.90882,-78.87046,
42.9088,-78.87043,
42.90879,-78.8704,
42.90886,-78.87053,
42.90888,-78.87056,
42.9089,-78.87058,
42.90882,-78.87047,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90882,-78.87046,
42.90887,-78.87054,
42.9088,-78.8704,
42.9088,-78.87042,
42.90887,-78.87054,
42.90882,-78.87046,
42.90886,-78.87054,
42.90881,-78.87045,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90889,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90882,-78.87046,
42.90881,-78.87043,
42.90886,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90881,-78.87044,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90882,-78.87046,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90881,-78.87043,
42.90887,-78.87054,
42.90882,-78.87046,
42.90887,-78.87054,
42.90883,-78.87047,
42.90881,-78.87044,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87047,
42.9088,-78.87042,
42.90886,-78.87054,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90881,-78.87045,
42.90887,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90882,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87049,
42.90881,-78.87044,
42.90887,-78.87054,
42.90883,-78.87048,
42.90881,-78.87044,
42.90888,-78.87055,
42.90884,-78.87047,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87048,
42.90882,-78.87043,
42.90886,-78.87054,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90889,-78.87057,
42.90884,-78.8705,
42.90882,-78.87046,
42.90881,-78.87043,
42.90888,-78.87055,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90883,-78.87047,
42.90888,-78.87055,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90879,-78.87039,
42.90881,-78.87042,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90883,-78.87049,
42.90882,-78.87045,
42.9088,-78.87042,
42.90881,-78.87044,
42.90886,-78.87053,
42.90887,-78.87056,
42.90883,-78.87047,
42.90881,-78.87043,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87048,
42.90881,-78.87044,
42.90876,-78.87033,
42.9088,-78.8704,
42.90881,-78.87043,
42.90882,-78.87045,
42.90886,-78.87054,
42.90887,-78.87057,
42.90884,-78.8705,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.9089,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90881,-78.87044,
42.90886,-78.87054,
42.90889,-78.87057,
42.90883,-78.87046,
42.90887,-78.87055,
42.90889,-78.87057,
42.90887,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87046,
42.9088,-78.87043,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87049,
42.9088,-78.87043,
42.90886,-78.87054,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90881,-78.87044,
42.90888,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90886,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87049,
42.90878,-78.87039,
42.90881,-78.87045,
42.90887,-78.87055,
42.90882,-78.87044,
42.90886,-78.87054,
42.90888,-78.87057,
42.90883,-78.87049,
42.90882,-78.87046,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90882,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.8705,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.8705,
42.90887,-78.87055,
42.90889,-78.87057,
42.90884,-78.8705,
42.90887,-78.87056,
42.9089,-78.87058,
42.90888,-78.87057,
42.90883,-78.87047,
42.90886,-78.87056,
42.90888,-78.87057,
42.90884,-78.87049,
42.90881,-78.87045,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87049,
42.90882,-78.87046,
42.90881,-78.87044,
42.90887,-78.87054,
42.90882,-78.87046,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87047,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90881,-78.87045,
42.90887,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.90883,-78.87047,
42.90881,-78.87043,
42.90886,-78.87054,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87056,
42.90882,-78.87046,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.9089,-78.87058,
42.90884,-78.87049,
42.90882,-78.87046,
42.90888,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90888,-78.87056,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90881,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90882,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.8705,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90882,-78.87046,
42.90886,-78.87055,
42.90887,-78.87057,
42.90881,-78.87044,
42.90886,-78.87054,
42.90883,-78.87048,
42.90882,-78.87046,
42.90887,-78.87055,
42.90884,-78.87049,
42.90882,-78.87047,
42.9088,-78.87041,
42.90881,-78.87044,
42.90886,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90884,-78.8705,
42.90887,-78.87055,
42.90884,-78.87049,
42.90882,-78.87047,
42.90886,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90884,-78.87049,
42.90887,-78.87055,
42.90884,-78.87049,
42.90881,-78.87044,
42.90879,-78.8704,
42.90881,-78.87044,
42.90882,-78.87046,
42.90887,-78.87054,
42.90883,-78.87048,
42.90882,-78.87046,
42.90881,-78.87043,
42.90882,-78.87046,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90882,-78.87045,
42.90881,-78.87042,
42.90882,-78.87046,
42.9088,-78.87041,
42.90886,-78.87053,
42.90883,-78.87049,
42.90887,-78.87055,
42.90883,-78.87049,
42.90887,-78.87055,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.8705,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.9088,-78.87041,
42.90888,-78.87054,
42.90888,-78.87056,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90882,-78.87046,
42.90887,-78.87055,
42.90883,-78.87048,
42.90882,-78.87046,
42.90886,-78.87055,
42.90884,-78.87049,
42.90882,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90882,-78.87045,
42.9088,-78.87041,
42.90881,-78.87044,
42.9088,-78.87042,
42.90882,-78.87045,
42.90886,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.90884,-78.87049,
42.90888,-78.87055,
42.90889,-78.87058,
42.90883,-78.87048,
42.90881,-78.87044,
42.90887,-78.87054,
42.90882,-78.87045,
42.90886,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90888,-78.87055,
42.9089,-78.87058,
42.90882,-78.87046,
42.90881,-78.87044,
42.90887,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90884,-78.87048,
42.90886,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90882,-78.87045,
42.90887,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.90883,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90884,-78.87049,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.8705,
42.90883,-78.87046,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90889,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90882,-78.87045,
42.90887,-78.87054,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.8705,
42.90887,-78.87056,
42.90888,-78.87058,
42.90884,-78.8705,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.8705,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87048,
42.90888,-78.87055,
42.9089,-78.87058,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90884,-78.87049,
42.90882,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.9089,-78.87058,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.9089,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87047,
42.90889,-78.87055,
42.90888,-78.87058,
42.90882,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90882,-78.87043,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90889,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90889,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.9089,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9088,-78.87059,
42.90886,-78.87058,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87056,
42.90888,-78.87058,
42.90884,-78.8705,
42.90888,-78.87056,
42.9089,-78.87057,
42.90887,-78.87057,
42.9089,-78.87058,
42.90889,-78.87056,
42.9089,-78.87058,
42.90888,-78.87058,
42.90883,-78.87048,
42.90881,-78.87044,
42.90886,-78.87054,
42.90887,-78.87056,
42.90883,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90887,-78.87057,
42.9089,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.9089,-78.87058,
42.90884,-78.87049,
42.90889,-78.87056,
42.90887,-78.87057,
42.9089,-78.87058,
42.90887,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90887,-78.87057,
42.90884,-78.87049,
42.90888,-78.87056,
42.90889,-78.87058,
42.90883,-78.87046,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87046,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90883,-78.87048,
42.90881,-78.87044,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90884,-78.87049,
42.90888,-78.87055,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.9089,-78.87058,
42.90884,-78.87049,
42.90887,-78.87056,
42.9089,-78.87058,
42.90887,-78.87057,
42.9089,-78.87058,
42.90888,-78.87057,
42.90884,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90889,-78.87057,
42.90887,-78.87057,
42.90883,-78.87046,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87056,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90882,-78.87046,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87055,
42.90884,-78.87049,
42.90887,-78.87056,
42.90883,-78.87048,
42.90881,-78.87043,
42.90882,-78.87045,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87056,
42.90883,-78.87048,
42.90887,-78.87054,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87048,
42.90882,-78.87045,
42.90887,-78.87054,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90882,-78.87044,
42.90887,-78.87054,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87056,
42.90883,-78.87048,
42.90887,-78.87055,
42.90882,-78.87046,
42.90887,-78.87055,
42.90884,-78.8705,
42.90882,-78.87045,
42.9088,-78.87043,
42.90887,-78.87054,
42.90888,-78.87057,
42.9089,-78.87058,
42.90884,-78.87047,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90882,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90882,-78.87046,
42.90887,-78.87055,
42.90881,-78.87044,
42.90886,-78.87054,
42.90883,-78.87048,
42.90887,-78.87055,
42.90883,-78.87047,
42.90887,-78.87055,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.9089,-78.87058,
42.90884,-78.8705,
42.90887,-78.87055,
42.9089,-78.87058,
42.90884,-78.87048,
42.90887,-78.87055,
42.90888,-78.87058,
42.90884,-78.8705,
42.90887,-78.87055,
42.90884,-78.8705,
42.90887,-78.87056,
42.90882,-78.87047,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90887,-78.87055,
42.90884,-78.87049,
42.90887,-78.87055,
42.90888,-78.87057,
42.90884,-78.87049,
42.90887,-78.87056,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90882,-78.87045,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.8705,
42.90887,-78.87056,
42.90883,-78.87047,
42.90882,-78.87045,
42.90887,-78.87055,
42.90883,-78.87048,
42.90887,-78.87056,
42.90883,-78.87048,
42.90888,-78.87055,
42.90884,-78.87049,
42.90887,-78.87055,
42.90883,-78.87048,
42.90882,-78.87044,
42.90887,-78.87054,
42.90888,-78.87057,
42.90884,-78.8705,
42.90887,-78.87056,
42.90889,-78.87058,
42.90883,-78.87048,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87047,
42.90882,-78.87045,
42.90887,-78.87054,
42.90889,-78.87057,
42.90884,-78.87049,
42.90882,-78.87045,
42.90887,-78.87055,
42.90888,-78.87057,
42.90883,-78.87048,
42.90887,-78.87055,
42.9088,-78.87043,
42.90886,-78.87054,
42.90883,-78.87048,
42.90888,-78.87055,
42.90883,-78.87048,
42.90881,-78.87044,
42.90877,-78.87037,
42.90885,-78.87052,
42.90888,-78.87056,
42.9089,-78.87058,
42.90888,-78.87057,
42.90884,-78.8705,
42.90883,-78.87047,
42.90887,-78.87054,
